State,Museum or Federal Agency,MNI,AFO,Geo Origin,County
Texas,"Univ. of Texas at Austin, Texas Archeological Research Laboratory",10,8,Texas,Culberson
Illinois,"Univ. of Illinois, Urbana-Champaign, Dept. of Anthropology",1,0,Illinois,Cumberland
Kentucky,"Western Kentucky Univ., Kentucky Museum",1,0,Kentucky,Cumberland
Maine,Pejepscot Historical Society,1,0,Maine,Cumberland
Maine,Maine State Museum,1,1,Maine,Cumberland
Maine,Maine State Museum,1,0,Maine,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Maine,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,Maine,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Maine,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",4,0,Maine,Cumberland
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,New Jersey,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",4,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,3,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",17,1,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",4,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",4,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,North Carolina,Cumberland
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,North Carolina,Cumberland
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",3,43,North Carolina,Cumberland
Pennsylvania,State Museum of Pennsylvania,1,0,Pennsylvania,Cumberland
North Carolina,"East Carolina Univ., David Phelps Archaeology Laboratory",123,0,North Carolina,Currituck
North Carolina,"East Carolina Univ., David Phelps Archaeology Laboratory",6,0,North Carolina,Currituck
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Currituck
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Currituck
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Currituck
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,Oregon,Curry
Montana,"Montana State Univ., Museum of the Rockies",1,0,Montana,Custer
Montana,"U.S. Dept. of Interior, Reclamation, Great Plains Region, Montana Area Office",1,0,Montana,Custer
Michigan,Univ. of Michigan Museum of Anthropology,12,0,Nebraska,Custer
Nebraska,Hastings Museum,2,0,Nebraska,Custer
Nebraska,Hastings Museum,1,0,Nebraska,Custer
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,0,Oklahoma,Custer
Oklahoma,"U.S. Dept. of Interior, Reclamation, Great Plains Region, Oklahoma-Texas Area Office",1,0,Oklahoma,Custer
Oklahoma,"U.S. Dept. of Interior, Reclamation, Great Plains Region, Oklahoma-Texas Area Office",1,0,Oklahoma,Custer
Oklahoma,"U.S. Dept. of Interior, Reclamation, Great Plains Region, Oklahoma-Texas Area Office",6,24,Oklahoma,Custer
Ohio,Cleveland Museum of Natural History,1,0,Ohio,Cuyahoga
Ohio,Cleveland Museum of Natural History,2,0,Ohio,Cuyahoga
Ohio,Cleveland Museum of Natural History,8,0,Ohio,Cuyahoga
Ohio,Cleveland Museum of Natural History,22,0,Ohio,Cuyahoga
Ohio,Cleveland Museum of Natural History,1,0,Ohio,Cuyahoga
Ohio,Cleveland Museum of Natural History,1,0,Ohio,Cuyahoga
Ohio,Cleveland Museum of Natural History,1,0,Ohio,Cuyahoga
Ohio,Ohio History Connection (formerly the Ohio Historical Society),23,4,Ohio,Cuyahoga
Ohio,Ohio History Connection (formerly the Ohio Historical Society),2,28,Ohio,Cuyahoga
Ohio,Ohio History Connection (formerly the Ohio Historical Society),7,0,Ohio,Cuyahoga
Florida,"Florida Dept. of State, Division of Historical Resources",1,36,Florida,Dade
Florida,"Florida Dept. of State, Division of Historical Resources",2,0,Florida,Dade
Florida,"Florida Dept. of State, Division of Historical Resources",1,0,Florida,Dade
Florida,"Florida Dept. of State, Division of Historical Resources",1,0,Florida,Dade
Florida,Florida Atlantic Univ.,4,0,Florida,Dade
Florida,Florida Atlantic Univ.,16,0,Florida,Dade
Florida,Florida Atlantic Univ.,6,0,Florida,Dade
Florida,Graves Museum of Archaeology and Natural History,3,0,Florida,Dade
Florida,HistoryMiami Museum,6,10,Florida,Dade
Florida,HistoryMiami Museum,15,5,Florida,Dade
Florida,HistoryMiami Museum,13,0,Florida,Dade
Florida,HistoryMiami Museum,38,4,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,20,0,Florida,Dade
Florida,HistoryMiami Museum,2,0,Florida,Dade
Florida,HistoryMiami Museum,6,0,Florida,Dade
Florida,HistoryMiami Museum,3,0,Florida,Dade
Florida,HistoryMiami Museum,5,0,Florida,Dade
Florida,HistoryMiami Museum,7,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,4,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,HistoryMiami Museum,1,0,Florida,Dade
Florida,"U.S. Dept. of Interior, NPS, Big Cypress N PRES",1,0,Florida,Dade
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Dade
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Dade
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Dade
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Dade
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",2,0,Florida,Dade
Florida,"Univ. of Florida, Gainesville, Florida Museum of Natural History",1,0,Florida,Dade
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Florida,Dade
New Mexico,"Univ. of New Mexico, Maxwell Museum of Anthropology",3,0,Florida,Dade
Alabama,Univ. of Alabama Museums,9,0,Georgia,Dade
Georgia,"Univ. of Georgia, Dept. of Anthropology",9,120,Georgia,Dade
Missouri,Missouri Dept. of Natural Resources,1,0,Missouri,Dade
Missouri,"Univ. of Missouri, Columbia, Museum of Anthropology",1,0,Missouri,Dade
Missouri,"Univ. of Missouri, Columbia, Museum of Anthropology",1,0,Missouri,Dade
Missouri,"Univ. of Missouri, Columbia, Museum of Anthropology",1,0,Missouri,Dade
Utah,Natural History Museum of Utah,1,1,Utah,Daggett
Minnesota,"Univ. of Minnesota, Twin Cities, Dept. of Anthropology, Wilford Archaeology Lab",0,14,Minnesota,Dakota
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,0,Texas,Dallam
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,0,Texas,Dallam
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,35,Texas,Dallam
Alabama,Auburn Univ.,3,0,Alabama,Dallas
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,59,Alabama,Dallas
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,2,0,Alabama,Dallas
Texas,"U.S. Dept. of Defense, Army COE, Fort Worth District",3,0,Texas,Dallas
Texas,"Univ. of Texas at Austin, Texas Archeological Research Laboratory",1,0,Texas,Dallas
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,Wisconsin,Dane
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,3,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",2,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",2,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",4,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",3,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",2,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",6,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",5,2,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",4,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Wisconsin,Dane
Wisconsin,"Wisconsin Historical Society, Museum Division",6,0,Wisconsin,Dane
Wisconsin,"Univ. of Wisconsin, Madison, Dept. of Anthropology",1,0,Wisconsin,Dane
Wisconsin,"Univ. of Wisconsin, Madison, Dept. of Anthropology",1,0,Wisconsin,Dane
North Carolina,"East Carolina Univ., David Phelps Archaeology Laboratory",10,0,North Carolina,Dare
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Dare
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Dare
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",2,0,North Carolina,Dare
Massachusetts,Robert S. Peabody Institute of Archaeology,1,0,Ohio,Darke
Ohio,Dayton Museum of Natural History,3,0,Ohio,Darke
Ohio,Dayton Museum of Natural History,1,0,Ohio,Darke
Ohio,Dayton Museum of Natural History,1,0,Ohio,Darke
Ohio,Dayton Museum of Natural History,1,0,Ohio,Darke
South Carolina,"Univ. of South Carolina, South Carolina Institute of Archaeology and Anthropology",9,7317,South Carolina,Darlington
Oklahoma,Gilcrease Museum,1,0,Pennsylvania,Dauphin
Pennsylvania,State Museum of Pennsylvania,3,0,Pennsylvania,Dauphin
Pennsylvania,State Museum of Pennsylvania,1,0,Pennsylvania,Dauphin
Pennsylvania,State Museum of Pennsylvania,1,0,Pennsylvania,Dauphin
North Carolina,"Wake Forest Univ., Archeology Labs",27,16,North Carolina,Davidson
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Davidson
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Davidson
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Davidson
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",1,0,North Carolina,Davidson
Iowa,"Univ. of Iowa, Office of the State Archaeologist",1,0,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,1,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",19,0,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",7,0,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",3,1,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,1,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",14,1,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",17,14,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",16,8,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",6,12,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",5,9,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",5,4,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,35,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",66,256,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",15,22,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Tennessee,Davidson
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",5,1,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",8,1,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",2,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",98,129,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",20,337,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",2,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Tennessee Dept. of Environment and Conservation, Division of Archaeology",1,0,Tennessee,Davidson
Tennessee,"Univ. of Memphis, C.H. Nash Memorial Museum and Chucalissa Archaeological Museum",1,0,Tennessee,Davidson
Tennessee,"Univ. of Memphis, C.H. Nash Memorial Museum and Chucalissa Archaeological Museum",4,1,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",7,52,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",2,32,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",1,1,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",1,54,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",5,7,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",4,18,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",1,0,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",1,5,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",34,80,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",5,10,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",16,808,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Dept. of Anthropology",728,0,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",6,3,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",30,67,Tennessee,Davidson
Tennessee,"Univ. of Tennessee, Knoxville, Frank H. McClung Museum",30,0,Tennessee,Davidson
Wisconsin,"Wisconsin Historical Society, Museum Division",1,0,Tennessee,Davidson
North Carolina,"Univ. of North Carolina at Chapel Hill, Research Laboratories of Archaeology",3,1,North Carolina,Davie
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",1,0,Indiana,Daviess
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",8,17,Indiana,Daviess
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",4,0,Indiana,Daviess
Indiana,"Indiana University, Dept. of Anthropology",6,126,Indiana,Daviess
Utah,"Brigham Young Univ., Museum of Peoples and Cultures",8,2,Missouri,Daviess
Utah,Natural History Museum of Utah,1,0,Utah,Davis
Utah,Natural History Museum of Utah,1,0,Utah,Davis
Utah,Natural History Museum of Utah,1,0,Utah,Davis
Utah,Natural History Museum of Utah,1,0,Utah,Davis
Utah,"U.S. Dept. of Agriculture, FS, Wasatch-Cache NF",2,0,Utah,Davis
Utah,"Utah Dept. of Natural Resources, Edge of the Cedars and Goosenecks State Park",1,0,Utah,Davis
Nebraska,"U.S. Dept. of Defense, Army COE, Omaha District",1,0,South Dakota,Davison
South Dakota,"South Dakota State Historical Society, State Archaeological Research Center",6,3,South Dakota,Davison
Nebraska,Univ. of Nebraska State Museum,1,0,Nebraska,Dawson
Texas,"Texas Tech Univ., Museum",1,0,Texas,Dawson
Texas,"Texas Tech Univ., Museum",1,9,Texas,Dawson
Texas,"Texas Tech Univ., Museum",2,50,Texas,Dawson
New Mexico,"Univ. of New Mexico, Maxwell Museum of Anthropology",1,1,New Mexico,De Baca
New Mexico,"Museum of New Mexico, Museum of Indian Arts and Culture",1,0,New Mexico,De Baca
Texas,"Texas Tech Univ., Museum",2,0,New Mexico,De Baca
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",1,124,Indiana,De Kalb
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",1,0,Alabama,De Soto
Pennsylvania,Univ. of Pennsylvania Museum of Archaeology and Anthropology,1,0,Florida,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",8,3,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",2,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",6,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",3,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",1,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",7,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",1,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",3,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",2,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",1,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",1,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",1,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",2,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",1,0,Mississippi,De Soto
Mississippi,"Mississippi Dept. of Archives and History, Museum Division",4,0,Mississippi,De Soto
Illinois,Illinois State Museum,3,0,Illinois,De Witt
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",1,26,Texas,Deaf Smith
Texas,"West Texas A and M Univ., Panhandle-Plains Historical Museum",2,5,Texas,Deaf Smith
Indiana,"Ball State Univ., Dept. of Anthropology",2,0,Indiana,Dearborn
Indiana,Indiana State Univ.,1,0,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",3,26,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",4,20,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",9,0,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",28,32,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",5,0,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",1,0,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",1,0,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",1,0,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",15,0,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",3,0,Indiana,Dearborn
Indiana,"Indiana University, Glenn A. Black Lab. of Archeology",14,0,Indiana,Dearborn
Indiana,"Indiana State Museum and Historic Sites Corporation, State of Indiana",2,0,Indiana,Dearborn
Indiana,"Indiana University, Dept. of Anthropology",2,0,Indiana,Dearborn
Indiana,"Indiana University, Dept. of Anthropology",1,0,Indiana,Dearborn
Massachusetts,Robert S. Peabody Institute of Archaeology,9,0,Indiana,Dearborn
Ohio,"Univ. of Cincinnati, Dept. of Anthropology",2,0,Indiana,Dearborn
Ohio,"Cincinnati Museum Center, Museum of Natural History and Science",27,0,Indiana,Dearborn
Georgia,"Univ. of Georgia, Dept. of Anthropology",1,0,Georgia,Decatur
Georgia,"Univ. of Georgia, Dept. of Anthropology",22,16,Georgia,Decatur
Kansas,Kansas State Historical Society,2,16,Kansas,Decatur
Tennessee,Tennessee Valley Authority,117,137,Tennessee,Decatur
Tennessee,Tennessee Valley Authority,11,7,Tennessee,Decatur
Tennessee,Tennessee Valley Authority,1,0,Tennessee,Decatur
California,"Univ. of California, Berkeley, Phoebe A. Hearst Museum of Anthropology",1,0,California,Del Norte
Indiana,"Ball State Univ., Dept. of Anthropology",1,0,Indiana,Delaware
Indiana,"Ball State Univ., Dept. of Anthropology",4,0,Indiana,Delaware
Indiana,"Ball State Univ., Dept. of Anthropology",1,0,Indiana,Delaware
New York,Rochester Museum and Science Center,1,0,Indiana,Delaware
New York,Rochester Museum and Science Center,1,0,New York,Delaware
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",1,0,Ohio,Delaware
Massachusetts,"Harvard University, Peabody Museum of Archaeology and Ethnology",2,0,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),9,3,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),7,0,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),264,22,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),1,0,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),4,0,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),2,0,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),2,0,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),267,28,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),279,49,Ohio,Delaware
Ohio,Ohio History Connection (formerly the Ohio Historical Society),2,0,Ohio,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",9,9,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,12,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,0,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",4,0,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",3,4,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",4,4,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",4,0,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",27,3,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,0,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,1,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,1,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,0,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",104,133,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",3,1,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",49,54,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,0,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",4,2,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",8,6,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",5,11,Oklahoma,Delaware
Oklahoma,"Univ. of Oklahoma, Sam Noble Oklahoma Museum of Natural History",1,0,Oklahoma,Delaware
Pennsylvania,State Museum of Pennsylvania,1,0,Pennsylvania,Delaware
Michigan,Univ. of Michigan Museum of Anthropology,6,0,Michigan,Delta
Alaska,State of Alaska Medical Examiner Office,1,0,Alaska,Denali
Missouri,"U.S. Dept. of Agriculture, FS, Mark Twain NF",1,0,Missouri,Dent
Missouri,"Univ. of Missouri, Columbia, Museum of Anthropology",3,71,Missouri,Dent
Texas,"U.S. Dept. of Defense, Army COE, Fort Worth District",3,0,Texas,Denton
Texas,"U.S. Dept. of Defense, Army COE, Fort Worth District",1,0,Texas,Denton
Texas,"U.S. Dept. of Defense, Army COE, Fort Worth District",1,0,Texas,Denton
Texas,"U.S. Dept. of Defense, Army COE, Fort Worth District",1,0,Texas,Denton
Texas,"U.S. Dept. of Defense, Army COE, Fort Worth District",3,0,Texas,Denton
Texas,"U.S. Dept. of Defense, Army COE, Fort Worth District",1,0,Texas,Denton
Texas,"U.S. Dept. of Defense, Army COE, Fort Worth District",10,0,Texas,Denton
Texas,"Univ. of Texas at Austin, Texas Archeological Research Laboratory",1,0,Texas,Denton
Texas,"Univ. of Texas at Austin, Texas Archeological Research Laboratory",1,0,Texas,Denton
Texas,"Texas Tech Univ., Museum",1,0,Texas,Dickens
