Id,Name,Bio,Search_Name
155,Rhûn,"Rhûn, also known as the Eastlands, is an expansive region to the east of Middle Earth. It is home to many different groups of people that all serve under Sauron. Rhûn is the name used to refer to all lands east of Rhovanion.",Rhun
156,Iron Hills,The Iron Hills are a range of mountains located in northeastern Middle Earth. It is a Dwarven realm presided over by Durin’s folk.,Iron Hills
157,Carnen,"The Carnen is a river that flows south from the Iron Hills, meeting up with the Celduin and eventually emptying into the inland Sea of Rhûn.",Carnen
158,Celduin,"The Celduin is a river that flows south from the Long Lake Esgaroth, meeting up with the Carnen and eventually emptying into the inland Sea of Rhûn. Prior to flowing from Esgaroth, it flows from the Lonely Mountain and is known as the River Running.",Celduin
159,Mirkwood,"Mirkwood is a vast forest in northern Rhovanion. It is home to the wood elves, and is known for being dark, dense, and easy to get lost in.",Mirkwood
160,East Bight,"The East Bight is a large clearing in the southwestern portion of Mirkwood. It is not a natural formation, having been caused by forestry by the northmen. The area immediately to the west of the Bight is now known as ‘the Narrows of Mirkwood’ as it is only about a hundred miles wide.",East Bight
161,Rhovanion,"Rhovanion, also known as Wilderland, is a large region in Northeastern Middle Earth. The Great River Anduin flows through it, and it also contains the entirety of the forests of Mirkwood. Rhovanion extends from the Misty Mountains in the West to the Celduin in the east, and from Rohan and Mordor in the south to the Grey Mountains in the north.",Rhovanion
162,Dol Guldur,"Dol Guldur is an ancient fortress in the middle of Mirkwood. Now sitting in ruins, Dol Guldur is generally avoided, as a dark and mysterious energy is known to emanate from the area.",Dol Guldur
163,Old Forest Road,"The Old Forest Road is a route that extends from the high pass in the Misty Mountains, through Mirkwood, and up to the river Celduin. It is about three hundred miles in length.",Old Forest Road
164,Mountains of Mirkwood,The Mountains of Mirkwood are a series of low craggy mountains in northern Mirkwood. They are located just west of the Elvenking’s halls in Mirkwood.,Mountains of Mirkwood
165,Forest River,The Forest River is a river in Rhovanion that begins in the Grey Mountains and runs through Mirkwood into the Long Lake. It is used by the Wood Elves of Mirkwood to trade with the men of the Long Lake.,Forest River
166,Wood Elves,"The Halls of the Wood Elvenking lie within the forests of northern Mirkwood near the Forest River. They are known to be somewhat reclusive and mysterious, however they are still known to trade with the men of Long Lake from time to time.",Wood Elves
167,Esgaroth (The Long Lake),"Esgaroth, also known as The Long Lake, is a lake in northeastern Rhovanion. The lake is fed by the River Running and the Forest River from the north and empties south into the river Celduin. At the center of Egaroth there exists a city of men called Lake Town, which consists of the former ancestors of the former residents of the northern city of Dale, which was destroyed by dragon fire many years earlier.",Esgaroth
168,"Erebor ""The Lonely Mountain""","Erebor, also known as the Lonely Mountain, is a tall and prominent peak in northern Rhovanion. It contains a subterranean Dwarven city of the same name, which is said to be filled with untold riches. Erebor is the source of the River Running.",Erebor
169,Edoras,"Edoras is the hilltop capital city of Rohan and home of the Golden Hall of Meduseld, the seat of the King of Rohan. Located in southern Rohan, Edoras is situated in a valley of the White Mountains along the river Snowbourn.",Edoras
