SiteName,County,Latitude,Longitutde,Sum,status,protection,Present Name
CopperCreekII,Crawford,43.317,-91.053,29,destroyed,unprotected,Copper Creek II
DahmenI,Crawford,43.004,-91.107,16,destroyed,unprotected,Dahmen I
DividingRidge-HazensCorners,Crawford,43.127,-91.042,31,unknown,unprotected,Dividing Ridge/Hazens Corners
Dremsa,Crawford,43.169,-90.71,2,destroyed,unprotected,Dremsa
DuCharmeSplit,Crawford,43.152,-91.127,3,destroyed,unprotected,Du Charme Split
Fairground,Crawford,43.311,-90.843,14,destroyed,unprotected,Fairground
FamechonRidge,Crawford,43.123,-91.046,2,destroyed,unprotected,Famechon Ridge
FischerI,Crawford,43.291,-91.029,9,intact,unprotected,Fischer I
FoleyI,Crawford,43.223,-91.053,10,intact ,protected,Foley I
FootoftheHill,Crawford,43.391,-90.793,13,destroyed,unprotected,Foot of the Hill
FourKites,Crawford,43.158,-91.097,4,destroyed,unprotected,Four Kites
GaysMills,Crawford,43.314,-90.853,4,unknown,unprotected,Gays Mills
GravelPitI,Crawford,43.009,-91.109,8,unknown,unprotected,Gravel Pit I
GravelPitII,Crawford,43.011,-91.114,25,destroyed,unprotected,Gravel Pit II
HogbackI,Crawford,43.203,-90.869,8,unknown,unprotected,Hogback I
HogbackII,Crawford,43.193,-90.869,5,unknown,unprotected,Hogback II
HogbackIII,Crawford,43.192,-90.87,3,unknown,unprotected,Hogback III
InterestedBear,Crawford,43.158,-91.086,1,destroyed,unprotected,Interested Bear
KickapooRiverRoad,Crawford,43.295,-90.839,4,unknown,unprotected,Kickapoo River Road
Knoble,Crawford,43.348,-90.838,17,unknown,unprotected,Knoble
Knower,Crawford,43.405,-91.1,1,destroyed,unprotected,Knower
LennonRidge,Crawford,43.406,-90.892,28,unknown,unprotected,Lennon Ridge
LevelPlat,Crawford,43.002,-91.101,1,unknown,unprotected,Level Plat
LimeryCouleeII,Crawford,43.085,-91.136,2,destroyed,unprotected,Limery Coulee II
Metz,Crawford,43.347,-91.046,2,intact,unprotected,Metz
Petersburg,Crawford,43.274,-90.839,2,unknown,unprotected,Petersburg
PicateeCouleeI,Crawford,43.136,-91.153,4,destroyed,unprotected,Picatee Coulee I
Pomerening,Crawford,43.092,-90.836,6,intact,unprotected,Pomerening
PrairieduChien,Crawford,43.037,-91.114,2,unknown,unprotected,Prairie du Chien
PSA,Crawford,43.387,-90.803,21,unknown,unprotected,PSA
RichlandCreek,Crawford,43.166,-90.71,1,unknown,unprotected,Richland Creek
Roosa,Crawford,43.38,-91.021,1,unknown,unprotected,Roosa
RoyPeterson,Crawford,43.226,-91.07,5,intact,unprotected,Roy Peterson
RushCreekEffigy,Crawford,43.375,-91.153,1,unknown,unprotected,Rush Creek Effigy
RushCreekI,Crawford,43.374,-91.152,39,intact,unprotected,Rush Creek I
RushCreekII,Crawford,43.376,-91.147,2,unknown,unprotected,Rush Creek II
SandCreek,Crawford,43.286,-90.84,8,unknown,unprotected,Sand Creek
SandHillRoadSpring,Crawford,43.285,-90.84,3,unknown,unprotected,Sand Hill Road Spring
SelchI,Crawford,43.023,-91.109,3,intact,unprotected,Selch I
SherryI,Crawford,43.393,-90.797,18,unknown,unprotected,Sherry I
Slough,Crawford,43.01,-91.032,22,destroyed,unprotected,Slough
SmithII,Crawford,43.283,-91.035,1,unknown,unprotected,Smith II
SmithHollow,Crawford,43.359,-90.815,19,destroyed,unprotected,Smith Hollow
SoaringBuzzard,Crawford,43.166,-91.133,1,intact,unprotected,Soaring Buzzard
SoldiersGrove,Crawford,43.402,-90.767,20,destroyed,unprotected,Soldier's Grove
StraightLine,Crawford,43.356,-90.838,5,unknown,unprotected,Straight Line
Straka,Crawford,43.125,-90.89,1,intact,unprotected,Straka
StrongSwallow,Crawford,43.153,-91.013,1,unknown,unprotected,Strong Swallow
Strong'sManMound,Crawford,43.212,-91.048,1,unknown,unprotected,Strong's Man Mound
Sully,Crawford,43.272,-91.037,1,intact,unprotected,Sully
SwatekRidge,Crawford,43.198,-91.012,18,unknown,unprotected,Swatek Ridge
Varo,Crawford,43.201,-91.108,3,intact,unprotected,Varo
Vilas-Flucke,Crawford,43.009,-91.149,62,partially destroyed,unprotected,Vilas/Flucke
WallRidge,Crawford,43.187,-91.067,1,unknown,unprotected,Wall Ridge
Wall-Smethurst,Crawford,43.201,-91.111,12,unknown,unprotected,Wall-Smethurst
WallinI,Crawford,43.243,-91.054,3,unknown,unprotected,Wallin I
WauzekaRidgeI,Crawford,43.095,-90.869,2,unknown,unprotected,Wauzeka Ridge I
WauzekaRidgeII,Crawford,43.094,-90.873,3,unknown,unprotected,Wauzeka Ridge II
WauzekaTerraceEast,Crawford,43.085,-90.879,4,unknown,unprotected,Wauzeka Terrace East
WauzekaTerraceWest,Crawford,43.084,-90.92,4,unknown,unprotected,Wauzeka Terrace West
X-131,Crawford,43.361,-90.812,8,destroyed,unprotected,X-131
ZinkleI,Crawford,43.137,-91.106,2,destroyed,unprotected,Zinkle I
EffigyMoundsNationalMonument,Iowa State,43.0892,-91.2006,206,Intact,protected,Effigy Mounds National Monument
